PLAYER,injury,year
MARCO ESTRADA,. RIGHT QUADRICEPS STRAIN.,2012
MARIANO RIVERA,. RIGHT KNEE INJURY.,2012
MARK LOWE," RETROACTIVE TO JUNE 26, 2012. STRAINED RIGHT INTRCOSTAL MUSCLE.",2012
MATT CAPPS," RETROACTIVE TO JUNE 24, 2012. RIGHT SHOULDER INFLAMMATION..",2012
MATT GARZA," RETROACTIVE TO JULY 28, 2012. RIGHT ELBOW STRESS REACTION",2012
MATT GUERRIER," RETROACTIVE TO APRIL 19, 2012. RIGHT-ELBOW TENDINITIS",2012
MATT LINDSTROM,. RIGHT MIDDLE FINGER INJURY.,2012
MICAH OWINGS,.,2012
MICHAEL KOHN," RETROACTIVE TO MARCH 26, 2012. RIGHT FOREARM STRAIN.",2012
MICHAEL PINEDA," RETROACTIVE TO MARCH 31, 2012. RIGHT ROTATOR CUFF TENDINITIS.",2012
MICHAEL STUTES," RETROACTIVE TO APRIL 22, 2012. RIGHT SHOULDER INFLAMMATION.",2012
MIGUEL BATISTA,. LOWER BACK STRAIN,2012
MIKE PELFREY," RETROACTIVE TO APRIL 22, 2012. SWELLING IN HIS RIGHT ELBOW.",2012
NEFTALI FELIZ,. RIGHT ELBOW INFLAMMATION.,2012
NICK BLACKBURN,. LEFT QUAD STRAIN,2012
NICK MASSET," RETROACTIVE TO MARCH 26, 2012. SORE RIGHT SHOULDER.",2012
OCTAVIO DOTEL," RETROACTIVE TO JUNE 3, 2012. RIGHT ELBOW INFLAMMATION.",2012
OLIVER DRAKE,. RIGHT SHOULDER TENDINITIS.,2012
PAUL MAHOLM,. LEFT WRIST CONTUSION,2012
PEDRO BEATO," RETROACTIVE TO MARCH 26, 2012. RIGHT SHOULDER STIFFNESS",2012
PHILIP HUMBER," RETROACTIVE TO JUNE 17, 2012. RIGHT ELBOW STRAIN.",2012
RAFAEL PEREZ," RETROACTIVE TO APRIL 26, 2012. STRAINED LEFT LAT.",2012
RAMON RAMIREZ," RETROACTIVE TO MAY 31, 2012. HAMSTRING STRAIN.",2012
RANDY WOLF,. TORN ULNAR COLLATERAL LIGAMENT IN LEFT ELBOW.,2012
RAUL VALDES," RETROACTIVE TO JULY 9, 2012. RIGHT HIP STRAIN RETROACTIVE TO AUGUST 31, 2012. TORN MENISCUS IN HIS RIGHT KNEE.",2012
RHINER CRUZ," RETROACTIVE TO APRIL 24, 2012. SPRAINED RIGHT ANKLE.",2012
RICH HILL," RETROACTIVE TO MARCH 26, 2012. RECOVERING FROM JUNE 2011 TOMMY JOHN SURGERY. RETROACTIVE TO JUNE 9, 2012. LEFT FOREARM SORENESS.",2012
ROBBIE ROSS," RETROACTIVE TO AUGUST 30, 2012. LEFT FOREARM SORENESS.",2012
ROBERT COELLO,.,2012
ROBERT FISH," RETROACTIVE TO MARCH 26, 2012. LEFT ELBOW TENDINITIS.",2012
ROY HALLADAY," RETROACTIVE TO MAY 28, 2012. RIGHT BACK STRAIN.",2012
RYAN DEMPSTER," RETROACTIVE TO APRIL 18, 2012. RIGHT QUAD STRAIN. RETROACTIVE TO JUNE 16, 2012. TIGHT RIGHT LAT.",2012
RYAN MADSON,. RECOVERING FROM APRIL 2012 TOMMY JOHN SURGERY.,2012
RYAN MATTHEUS," RETROACTIVE TO MAY 21, 2012. PLANTAR FASCIA STRAIN IN HIS LEFT FOOT.",2012
RYAN VOGELSONG," RETROACTIVE TO MARCH 26, 2012. STRAINED LOWER BACK.",2012
SANDY ROSARIO,. RIGHT QUAD STRAIN,2012
SCOTT ATCHISON," RETROACTIVE TO JULY 14, 2012. RIGHT FOREARM TIGHTNESS",2012
SCOTT BAKER,.,2012
SCOTT DOWNS," RETROACTIVE TO JULY 28, 2012. STRAINED LEFT SHOULDER.",2012
SCOTT ELBERT," RETROACTIVE TO JULY 26, 2012. LEFT ELBOW INFLAMMATION. RETROACTIVE TO AUGUST 27, 2012. LEFT ELBOW INFLAMMATION.",2012
SCOTT LINEBRINK," RETROACTIVE TO MARCH 30, 2012. RIGHT SHOULDER CAPSULITIS",2012
SERGIO ESCALONA,. RECOVERING FROM MARCH 2012 TOMMY JOHN SURGERY.,2012
SERGIO SANTOS,. RIGHT SHOULDER INFLAMMATION.,2012
SHANE LOUX," RETROACTIVE TO JUNE 26, 2012. NECK STRAIN.. NECK STRAIN.",2012
SHAUN MARCUM," RETROACTIVE TO JUNE 15, 2012. RIGHT ELBOW TIGHTNESS.",2012
STU POMERANZ," RETROACTIVE TO MAY 26, 2012. LEFT OBLIQUE INJURY",2012
TAKASHI SAITO," RETROACTIVE TO APRIL 1, 2012. CALF STRAIN. RETROACTIVE TO AUGUST 13, 2012. STRAINED LEFT HAMSTRING.",2012
TED LILLY," RETROACTIVE TO MARCH 26, 2012. NECK STIFFNESS. RETROACTIVE TO MAY 24, 2012. LEFT SHOULDER INFLAMMATION.",2012
TIM BYRDAK,.,2012
TIM HUDSON," RETROACTIVE TO APRIL 3, 2012. RECOVERY FROM BACK SURGERY",2012
TIM STAUFFER," RETROACTIVE TO APRIL 4, 2012. STRAINED RIGHT ELBOW RETROACTIVE TO MAY 15, 2012. RIGHT ELBOW SPRAIN.",2012
TODD COFFEY,. RIGHT KNEE INFLAMMATION. RIGHT ELBOW SORENESS.,2012
TOMMY HANSON,. LOWER BACK STRAIN,2012
TROY PATTON," RETROACTIVE TO AUGUST 13, 2012. SPRAINED RIGHT ANKLE.",2012
TSUYOSHI WADA," RETROACTIVE TO MARCH 28, 2012. LEFT ELBOW IMPINGEMENT",2012
VANCE WORLEY," RETROACTIVE TO MAY 12, 2012. RIGHT ELBOW INFLAMMATION.. LOOSE BODIES IN HIS RIGHT ELBOW.",2012
VICENTE PADILLA," RETROACTIVE TO AUGUST 6, 2012. RIGHT BICEPS STRAIN.",2012
WILTON LOPEZ," RETROACTIVE TO JUNE 11, 2012. SPRAINED RIGHT ELBOW.",2012
ZACH BRITTON,. LEFT SHOULDER IMPINGEMENT.,2012
